Deutch,Italian
Herr,Signore
Haben,Avere
wegen,per colpa di
geht's,È possibile
liebe,Amore
genug,Abbastanza
dabei,incluso
bringen,Portare
Ihre,Suo
ne,ne
gegen,contro
Weißt,Bianco
Sag,Dire
schnell,veloce
nun,COSÌ
eines,uno
brauche,Bisogno
Abend,Sera
hatten,avevo
Jahre,Anni
Mach,Fare
Bruder,Fratello
Sache,Questione
hören,ascoltare
komm,Venire
Sohn,Figlio
seit,Da
Morgen,Mattina
drei,tre
steht,Stands
Scheiße,Fanculo
mag,Piace
sei,Essere
unser,Nostro
konnte,Potevo
habt,Avere
Oder,O
einmal,una volta
heißt,è chiamato
OK,OK
Willst,Volere
Kopf,Testa
Hilfe,Aiuto
Familie,Famiglia
Geh,Camminare
Baby,neonato
Dich,Voi
Sind,Sono
erst,Primo
fertig,completare
gefunden,trovato
seid,Sono
kam,venni
nehmen,Prendere
morgen,Mattina
sprechen,parlare
Mir,Me
sofort,subito
Kann,Potere
Hat,Ha
Jahren,Anni
Kind,bambino
seinen,il suo
Genau,Esattamente
daran,ad esso
Junge,Ragazzo
Minuten,Minuto
bevor,Prima
Stadt,Città
beim,al
sterben,morire
warst,esseri
Recht,Giusto
glauben,credere
Warte,Aspettare
darüber,a proposito
deiner,il tuo
deinem,il tuo
Ende,FINE
He,EHI
Dinge,Cose
Namen,Nomi
wahr,VERO
Alle,Tutto
allein,solo
Natürlich,Naturalmente
töten,uccisione
Nichts,Niente
Wirklich,Veramente
bekommen,ricevere
Männer,Uomini
vergessen,dimenticare
Doch,Ma
dazu,Inoltre
gab,ha dato
später,Dopo
wusste,sapevo
Augen,Occhi
Dank,Grazie a
Freunde,Amici
Jungs,Ragazzi
halten,Presa
warten,Aspettare
Glück,Fortuna
beide,Entrambi
gute,Bene
Dein,Tuo
kennen,Sapere
Deine,Tuo
n,N
Hi,CIAO
Dr,Dr
Auto,automobile
sage,leggenda
gehe,andare
komme,Venire
Dir,Voi
mache,Fare
Von,Da
Uhr,Orologio
sehe,Vedere
Teufel,diavolo
sonst,Altrimenti
Art,Tipo
gern,volentieri
Liebe,Amore
jeden,ogni
könnten,Potrebbe
ihren,tuo
Halt,Fermare
Fall,caso
Dad,Papà
Film,Film
bisschen,un po'
eigentlich,In realtà
weit,lontano
mach,Fare
Gib,Dare
vorbei,Sopra
verstehe,capire
danke,Grazie
drin,dentro
Im,Nel
Name,Cognome
ganzen,tutto
Musik,Musica
würden,volevo
Tür,porta
verrückt,pazzo
solltest,Dovrebbe
denken,pensare
Noch,Ancora
dran,il tuo turno
Sieh,Vedere
lieber,Caro
Den,IL
leben,vita
Guten,Bene
Um,In giro
darauf,su di essa
Kein,NO
stimmt,VERO
Kerl,Tipo
letzte,scorso
Job,lavoro
verloren,perduto
wurden,divenne
kenne,Sapere
Ahnung,Idea
seiner,il suo
Grund,Motivo
toll,Grande
Bis,Fino a
Verdammt,Dannato
bald,Presto
bereit,pronto
all,Alles
jemanden,qualcuno
hinter,dietro
Schon,Già
Sehr,Molto
Hand,mano
darf,Maggio
Dieser,Questo
Frauen,Donne
Euch,Voi
Idee,idea
runter,giù
Macht,Energia
draußen,al di fuori
lang,lungo
Land,Paese
lass,permettere
Typ,Tipo
hätten,Avere
egal,Non importa
arbeiten,lavoro
spät,tardi
stehen,in piedi
ok,OK
Gute,Bene
gekommen,venni
Bei,A
etwa,circa
essen,mangiare
kleine,piccolo
jeder,tutti
Schwester,Sorella
Wasser,Acqua
spielen,giocare
Geschichte,Storia
seinem,il suo
liegt,bugie
sah,sega
Mom,Mamma
Seite,Pagina
wenig,pochi
ruhig,Tranquillo
Frage,Chiedere
meinst,Significare
überhaupt,affatto
fahren,guidare
Ganz,Abbastanza
Gehen,Andare
Essen,Mangiare
Ruhe,Tranquillo
echt,Veramente
versucht,provato
Tochter,Figlia
Kommt,Arriva
Einen,UN
ging,andato
Jahr,Anno
braucht,esigenze
fast,quasi
neue,nuovo
geh,camminare
ziemlich,abbastanza
anders,diverso
siehst,Vedere
Polizei,Polizia Stradale
Stunden,Ore
musste,doveva
Spiel,Gioco
gewesen,stato
gerne,volentieri
finde,Trovare
erzählt,detto
Tod,Morte
Ort,Posizione
Chance,opportunità
bedeutet,significa
War,Era
sag,Dire
sagst,Dire
fragen,domande
letzten,scorso
sogar,Anche
ersten,Primo
Sachen,Cose
Wahrheit,Verità
einzige,soltanto
kurz,corto
denen,chi
Kommen,Venire
Spaß,Divertimento
Nach,Dopo
oben,Sopra
Mama,mummia
schwer,difficile
Schule,Scuola
je,mai
eben,Anche
Gesicht,Viso
bestimmt,certamente
treffen,Incontrare
niemand,nessuno
Woche,Settimana
Entschuldigung,Mi scusi
Sorgen,Care
warte,Aspettare
natürlich,naturalmente
schlecht,Cattivo
große,misurare
getötet,ucciso
verstehen,capire
hoffe,Speranza
Ah,Uh
Sei,Essere
Zimmer,Camera
hoch,alto
unserer,nostro
Tage,Giorni
Teil,Parte
Wann,Quando
suchen,cercare
verlassen,Partire
zeigen,spettacolo
wollten,voleva
lässt,foglie
Wort,Parola
eins,uno
zwischen,fra
Woher,Da dove
Schatz,Tesoro
Wissen,Sapere
versuchen,tentativo
Können,Potere
Kannst,Potere
nett,Tipo
Zu,A
kriegen,Ottenere
Geht,Va
Arsch,culo
kleinen,piccolo
Hab,Avere
weiss,bianco
erste,Primo
läuft,corsa
kommst,Venire
Freundin,Fidanzata
Mensch,Persona
beiden,Entrambi
Ding,cosa
niemals,Mai
endlich,Finalmente
Nimm,Prendere
muß,dovere
gehst,a piedi
Heute,Oggi
denkst,pensiero
Herz,Cuore
Waffe,arma
Soll,Dovrebbe
tust,Tust
Dollar,dollaro
nehme,Prendere
Schau,Aspetto
holen,andare a prendere
oft,Spesso
drauf,su di essa
anderes,altro
Niemand,Nessuno
unten,sotto
Wagen,Osa
Yeah,Sì
Schön,Carino
wichtig,importante
Mrs,SIG.RA
hättest,avrebbe
allen,Tutto
Miss,Mancare
ihrer,del loro
gedacht,Pensiero
Nummer,numero
würdest,volevo
erzählen,raccontare
bleibt,resti
Auch,Anche
Hände,mani
Blut,sangue
Sehen,Vedere
bloß,Appena
recht,Giusto
bringt,porta
Bett,Letto
Lassen,Permettere
Eltern,Genitori
gefällt,piatti
Schuld,Colpa
eure,tuo
Plan,piano
Krieg,Guerra
neuen,nuovo
Klar,Chiaro
retten,salvare
guter,merce
während,Mentre
ihrem,la sua
wären,Essere
Fehler,Errore
scheint,appare
Lasst,Foglie
gegeben,dato
An,A
hör,ascoltando
glücklich,Contento
verdammt,dannato
alt,vecchio
Platz,Posto
darum,Perciò
Vielen,Molti
falsch,errato
unseren,nostro
schlafen,sonno
Sagen,Dire
nächsten,Prossimo
fünf,cinque
frei,gratuito
Sorge,Preoccupazioni
Vor,Prima
fest,fermamente
bereits,Già
alleine,solo
Denn,Perché
Zwei,Due
Fragen,Domande
möglich,possibile
irgendwie,in qualche modo
Papa,padre
lernen,Imparare
gestern,Ieri
hierher,Qui
Schiff,Nave
vier,quattro
irgendwas,nulla
Stimmt,VERO
Menge,Folla
keiner,nessuno
brauchst,esigenze
Typen,Tipo
Dass,Quello
Stunde,Ora
Szene,scena
Hölle,inferno
einige,Alcuni
Deshalb,Per questa ragione
geworden,diventare
Telefon,telefono
Darf,Maggio
Feuer,Fuoco
Wollen,Volere
Bin,Sono
Alter,Vecchio
Captain,Capitano
Aus,Fuori da
Dieses,Questo
Probleme,I problemi
Jeder,Tutti
verstanden,inteso
wann,Quando
alten,vecchio
gibt's,È lì
sondern,Piuttosto
guten,Bene
zwar,questo è
eigenen,Proprio
New,Nuovo
Körper,Corpo
hört,ascoltare
Zum,Per il
gebe,regalo
Kumpel,Tizio
Hund,Cane
nochmal,Ancora
hab's,fatto
früh,Presto
Hören,Ascoltare
trinken,bere
besten,migliore
meines,mio
schaffen,creare
alte,vecchio
Luft,Aria
Jemand,Qualcuno
dürfen,Maggio
Meister,maestro
Erde,Terra
Seit,Da
Sicher,sicuro
Hört,Ascoltare
Zukunft,Futuro
kaum,appena
funktioniert,funzioni
voll,pieno
Bleib,Rimanere
reicht,Basti
weh,irritato
stellen,posto
Siehst,Vedere
kleiner,più piccola
großen,Enorme
Waffen,armi
Büro,Ufficio
Wahl,Scelta
verlieren,perdere
Wochen,Settimane
Damit,Con esso
Stück,Pezzo
lieben,Amore
allem,Tutto
getroffen,incontrato
äh,uh
Am,Al
geschafft,Fatto
tue,Fare
gefallen,caduto
Tja,BENE
Boss,capo
überall,ovunque
Sieht,Vede
passieren,accadere
lustig,divertente
Licht,Leggero
gebracht,portato
nennen,per nominare
Folge,Conseguenza
Gefühl,Sensazione
völlig,completamente
denkt,pensa
Schlüssel,Chiave
drüben,laggiù
Richtig,Corretto
wieso,come mai
Leuten,Persone
Buch,Libro
laufen,correre
spielt,Play
früher,prima
Sein,Essere
krank,malato
gegangen,andato
fand,trovato
Seine,Il suo
Pass,passaporto
fühle,Tatto
Himmel,Paradiso
froh,lieto
leicht,leggero
direkt,diretto
langsam,lento
wolltest,ricercato
erinnern,Ricordare
zuerst,Primo
Krankenhaus,Ospedale
Viel,Tanto
beste,migliore
welche,Quale
genommen,preso
Arzt,Medico
unserem,nostro
Idiot,idiota
Machen,Fare
glaubst,credere
jede,ogni
Ohne,Senza
groß,grande
hattest,odio
Äh,Uh
Jungen,Ragazzi
Rest,riposo
Unsere,Nostro
versuche,Tentativo
Tagen,Giorni
nächste,Prossimo
Entschuldigen,Scusa
Doktor,medico
spricht,parla
könnt,Potere
hält,tiene
Team,squadra
Verstanden,Inteso
kämpfen,battaglia
heiraten,sposare
könntest,Potrebbe
Wow,Oh
Etwas,Qualcosa
Straße,Strada
Mist,Dannazione
König,re
redest,discorso
kleines,piccolo
lebt,vite
erklären,spiegare
worden,andato
Millionen,milioni
Wiedersehen,Riunire
Onkel,Zio
kennst,Sapere
sitzen,sedersi
dies,Questo
weniger,meno
Kaffee,Caffè
ernst,serio
wollt,Volere
tragen,trasportare
Zeug,Cose
trotzdem,nonostante ciò
Ihren,Tuo
kaufen,acquistare
Liste,elenco
ändern,modifica
Kampf,Battaglia
hasse,odio
Person,persona
Mund,bocca
umbringen,uccisione
Präsident,Presidente
Boden,Pavimento
Wohin,Dove
machte,fatto
Party,festa
gefragt,chiesto
Seht,Aspetto
irgendwo,in qualche luogo
kümmern,Stai attento
kennt,conosce
verletzt,ferito
Habt,Avere
Nachricht,Notizia
Willkommen,Benvenuto
vielen,molti
hart,difficile
lasse,permettere
total,totale
Gefängnis,Prigione
außer,tranne
Sicherheit,Sicurezza
Schnell,Veloce
wem,chi
ehrlich,onesto
interessiert,interessato
Sex,sesso
sagten,disse
ziehen,tiro
Welche,Quale
Unser,Nostro
Augenblick,momento
angerufen,chiamato
aufhören,fermare
Klasse,Classe
Bild,Immagine
stark,forte
Dies,Questo
Eure,Tuo
zehn,dieci
Sinn,senso
vorstellen,introdurre
Traum,Sogno
länger,più a lungo
manchmal,A volte
anrufen,chiamata
sechs,sei
Arschloch,Stronzo
sollst,completo
gestorben,morto
Tages,Giorno
war's,Era
verschwinden,scomparire
Kraft,Energia
gesprochen,parlato
heraus,fuori di qui
genauso,proprio come
wärst,Essere
Eins,Uno
damals,a quel tempo
heißen,essere chiamato
Liebling,Tesoro
wahrscheinlich,probabilmente
deshalb,per questa ragione
Stelle,Lavoro
halt,fermare
erwartet,previsto
solche,come
meisten,maggior parte
bringe,Portare
still,Tranquillo
umgebracht,ucciso
Stimme,Essere d'accordo
General,generale
Geben,Dare
Entschuldige,Scusa
Vergiss,Smemorato
rede,discorso
führen,Guida
Bewegung,Movimento
höre,Ascoltare
Sonst,Altrimenti
Geschäft,Attività commerciale
werdet,diventare
konnten,Potevo
wartet,in attesa
Raus,Fuori
